post,normalized claim
"मैं बाबा राम रहीम इंसान जी से मिला. वही उर्जा, वही दिव्य व्यक्तित्व, मैंने उनका आशीर्वाद लिया और उन्होंने आगामी चुनाव के लिए आम आदमी पार्टी को आशीर्वाद देने का वादा किया",आम आदमी पार्टी के मुखिया अरविंद केजरीवाल की डेरा सच्चा सौदा प्रमुख राम रहीम से मुलाकात हुई. इसके बाद राम रहीम ने केजरीवाल को पंजाब चुनाव के लिए आशीर्वाद दिया.
"नड्डा जी को धन्यवाद कह दो! भूपेश हैं तो भरोसा है.“ आर्काइव्ड वर्जन यहां देखें. इंडिया टुडे फैक्ट चेक ने पाया कि जेपी नड्डा ने ये बात कांग्रेस की छत्तीसगढ़ सरकार की तारीफ में नहीं बल्कि हिमाचल प्रदेश की एक चुनावी सभा में मोदी सरकार के कामकाज की तारीफ में कही थी. उनके पूरे बयान का एक छोटा हिस्सा काटकर छत्तीसगढ़ सरकार की योजनाओं के वीडियो के साथ जोड़ दिया गया है.कैसे पता लगाई सच्चाई? वायरल वीडियो के कीफर्म्स को रिवर्च सर्च करने पर हमें बीजेपी के यूट्यूब चैनल पर नड्डा की चुनावी रैली का एक वीडियो मिला. इसे चार नवंबर, 2022 को अपलोड किया गया था. इसके साथ दी गई जानकारी के मुताबिक ये वीडियो नड्डा के न्यू शिमला, हिमाचल प्रदेश में हुए चुनावी भाषण का हिस्सा है. इस भाषण में नड्डा, मोदी सरकार की उपलब्धियों को गिनाते हुए कांग्रेस पर निशाना साध रहे थे. इसी दौरान उन्होंने कहा, “पूर्व प्रधानमंत्री राजीव गांधी कहते थे कि 100 रुपए भेजता हूं तो 85 रुपए रास्ते में ही गायब हो जाते हैं, 15 रुपए ही पहुंचते है. आज मोदी जी के नेतृत्व में DBT के तहत लोगों के खाते में पूरा का पूरा पैसा पहुंचता है. आज 25 लाख करोड़ रुपए लोगों के खाते में डायरेक्ट बेनिफिट ट्रांसफर में सीधे उनके अकाउंट मे चला गया, कोई बिचौलिया बीच में नहीं है, ये परिस्थिति आ चुकी है. दुनिया का 40 फीसदी डिजिटल ट्रांजेक्शन भारत में हो रहा है. ये हमारी थाती बन चुकी है",बीजेपी अध्यक्ष जेपी नड्डा ने छत्तीसगढ़ सरकार की योजनाओं की तारीफ की है.
"देश का दुर्भाग्य कि तीर चला नहीं वरना कल्याण हो जाता। अफसोस, कि तीर चला नही है। हम तीर की कड़ी निन्दा करते हैं। उसे चलना ही चाहिए था। इतिहास मे पहली बार ऐसा हो रहा है की एक रावण, दूसरे रावण को तीर मार रहा है।",दशहरा समारोह के दौरान केजरीवाल उलटा धनुष और तीर पकड़े हुए आए नजर हैं।
"क्या ही खूबसूरत मौत है. सजदे की हालत में मौत ओ भी नबी शहर, नबी की मस्जिद मस्जिद ए नबवी में नमाज़ ए जुमा के दौरान अल्लाह का बंदा सजदे में ही अपने खालिक से जा मिला. मौत भी आई तो तब जब बंदा अपने रब से बेहद करीब था",सऊदी अरब के मदीना शहर की मस्जिद-ए-नबवी में सजदे के दौरान एक शख्स की मौत हो गई.
गांव वाले लठ लेकर ईवीएम की रखवाली के रवाना हो गये हैं #हल्लाबोल #सोनभद्र #वाराणसी #बरेली #लखनऊ #10_मार्च_यूपी_में_भैया_श्री_अखिलेश_आ_रहे_है,वीडियो में देखा जा सकता है कि कैसे उत्तर प्रदेश के ग्रामीण लट्ठ लेकर ईवीएम की रखवाली के लिए निकल पड़े हैं.
डबल्यू.एच.ओ ने अपनी गलती मानी. पूरी तरह से यू-टर्न लेते हुए कहा है कि कोरोना एक सीजननल वायरस है यह मौसम बदलाव के दौरान होने वाला खांसी जुकाम गला दर्द है इससे घबराने की जरूरत नहीं. डब्ल्यू.एच.ओ अब कहता है कि कोरोना रोगी को न तो अलग रहने की जरूरत है और न ही जनता को सोशल डिस्टेंसिंग की जरूरत है. यह एक मरीज से दुसरे व्यक्ति में भी संचारित नहीं होता. देखिये WHO की प्रैस कांफ्रेंस,डब्लूएचओ ने यूटर्न लेते हुए एक कॉन्फ्रेंस में बताया कि कोविड-19 एक मौसमी बीमारी है जिससे घबराने की जरूरत नहीं है.
"ये लाहौर कॉलेज के दानदाताओं की सूची है, जिसमे कोई मुसलमान नही है, मगर दुर्भाग्य है आज इस कॉलेज में कोई हिन्दू नही है. कब जागोगे हिन्दू","ये डीएवी कॉलेज, लाहौर के दानदाताओं की सूची है, जिसमें एक भी मुसलमान का नाम नही है. वर्तमान में इस कॉलेज में एक भी हिंदू छात्र नहीं है."
"साढ़े छह सौ अस्सी करोड़"" पहली रैली से ही धमाका शुरू प्रियंका गांधी तो झांकी है, राहुल गांधी का भाषण अभी बाकी है",हिमाचल प्रदेश में चुनावी रैली के दौरान कांग्रेस नेता प्रियंका गांधी वाड्रा छह सौ अस्सी करोड़ जैसा निरर्थक आंकड़ा बोल गईं.
"तारा सिंह की फिल्म गदर-2 का ट्रैलर रिलीज हूआ,",'गदर-2' का ट्रेलर रिलीज हो गया है।
𝐁𝐑𝐄𝐀𝐊𝐈𝐍𝐆 𝐍𝐄𝐖𝐒: रावण को लादेन का स्वरूप देने वाले सैफ अली खान को पुणे मे जूता फेक कर मारा गया.. आ गया पहला रुझान,फिल्म ‘आदिपुरुष’ में रावण के लुक को लेकर चल रहे विवाद की वजह से पुणे में एक्टर सैफ अली खान को जूता फेंक कर मारा गया.
बागेश्‍वर धाम गए थे मोदी जी।,पीएम मोदी गए थे बागेश्‍वर धाम
